#Word Types: 58536;;
#Word Tokens: 2513412;;
#Search Hits: 0;;
629;461;vogts
630;459;berichtet
631;459;furer
632;459;sage
633;459;sonntag
634;458;geordnet
635;456;heinerich
636;456;komme
637;456;naher
638;456;undersagt
639;456;zwey
640;455;daran
641;455;gezogen
642;455;huß
643;453;anzug
644;453;barbel
645;453;gschehen
646;453;namlich
647;453;red
648;453;sollend
649;452;rüti
650;450;deswegen
651;450;hansen
652;449;eit
653;448;k
654;447;jag
655;446;brunner
656;444;abend
657;444;gebracht
658;444;selbst
659;443;fluchen
660;441;gange
661;441;klagte
662;441;stellen
663;441;töchteren
664;438;angenommen
665;438;funden
666;438;gehört
667;438;i
668;438;sole
669;438;theils
670;438;ursach
671;436;hanns
672;434;anß
673;432;endtlich
674;427;et
675;426;danne
676;426;müllers
677;426;schwanger
678;423;gantze
679;423;verkauffen
680;420;berg
681;420;sitzgelt
682;417;eltisten
683;417;ernsthafft
684;417;fürbracht
685;417;wein
686;414;gelegt
687;414;predigeren
688;414;rechnung
689;414;rev
690;414;steür
691;412;christen
692;410;geführt
693;408;beschaffenheit
694;408;februarii
695;408;leüthen
696;407;begehren
697;407;uhren
698;407;verkaufft
699;405;darfür
700;405;darmit
701;405;denselben
702;405;eigenthumb
703;405;syner
704;402;anzeigt
705;402;diacon
706;402;dißes
707;402;glättli
708;402;gmeinden
709;402;jetz
710;399;beschikt
711;399;offentlich
712;399;schweeren
713;399;weiber
714;398;betreffend
715;398;escher
716;396;gegangen
717;395;gnedig
718;393;daruff
719;393;gsellen
720;393;kernen
721;393;magt
722;393;sohns
723;390;bur
724;390;darbey
725;390;diserem
726;390;maria
727;390;schneider
728;387;bekent
729;387;immer
730;387;klagbars
731;387;schärer
732;384;apr
733;384;beseßen
734;384;darin
735;384;gestellt
736;384;getrunken
737;384;kinden
738;384;verhört
739;383;kauffen
740;383;lob
741;381;bebi
742;381;boßhart
743;381;darvor
744;381;laugnete
745;381;ohn
746;381;stillständer
747;381;stund
748;380;sei
749;378;almosen
750;378;elßbeth
751;378;ohrt
752;377;ell
753;377;feer
754;375;fleißig
755;375;honegger
756;375;könte
757;375;meyers
758;375;söllind
759;374;onde
760;374;schulm
761;372;gëben
762;372;hierüber
763;372;neüwen
764;370;onat
765;369;etlichen
766;369;liederlichen
767;369;morgens
768;369;par
769;369;pfisters
770;368;dorff
771;366;gefallen
772;366;oberen
773;365;ald
774;363;darum
775;363;fol
776;363;ghan
777;363;liechtstubeten
778;363;sekelmeister
779;362;hlr
780;360;adam
781;360;anderer
782;360;bericht
783;360;heiri
784;360;keiner
785;360;sin
786;357;ann
787;357;genannt
788;357;offt
789;357;vatters
790;356;f
791;354;bleiben
792;354;eigen
793;354;heim
794;354;jedoch
795;354;knab
796;354;tisch
797;354;will
798;351;antwort
799;351;eltesten
800;351;fürohin
801;351;gedachter
802;351;geschwornen
803;351;knëcht
804;351;lieben
805;351;schaden
806;348;angezogen
807;348;erren
808;348;große
809;348;gsyn
810;348;regula
811;348;söhn
812;348;verzeihung
813;348;wagner
814;347;beßer
