Eigennamen	Siedlungnummer	Ortsname normalisiert	Kategorie
Bonsteten	3001	Bonstetten	placeName
Bonstëten	3001	Bonstetten	placeName
Bonstetten	3001	Bonstetten	placeName
Boonst[etten]	3001	Bonstetten	placeName
Boonstetten	3001	Bonstetten	placeName
Boswyl	4228	Boswil	placeName
Bottenweil	4273	Bottenwil	placeName
Brämgarten	4063	Bremgarten	placeName
Brandenburg	*	Brandenburg	placeName
Brandenburgisch		Brandenburg	placeName
Brandenburgische		Brandenburg	placeName
Breisgöüw	*	Breisgau	placeName
Breiten		Breiten	placeName
Breiten-Matt	111066	Breitenmatt	placeName
Breitenmatt	111066	Breitenmatt	placeName
Breitten		Breiten	placeName
Breitti	115080	Breiti	placeName
Bremg[arten]	4063	Bremgarten	placeName
Bremgarten	4063	Bremgarten	placeName
Brütten	213	Brütten	placeName
Brysgöüw	*	Breisgau	placeName
Bryßgoüw	*	Breisgau	placeName
Bubicon	112001	Bubikon	placeName
Bubiconensi	112001	Bubikon	placeName
Bubiken	112001	Bubikon	placeName
Bubikon	112001	Bubikon	placeName
Buchberg	2933	Buchberg	placeName
Buchen[egk]	2933	Buchenegg	placeName
Buchenegck	2933	Buchenegg	placeName
Buchenegg	2933	Buchenegg	placeName
Buchenegk	2933	Buchenegg	placeName
Buchenek	2933	Buchenegg	placeName
Buchhalden	172013	Buchhalden	placeName
Buchholtz	196029	Buchholz	placeName
Buchholz	196029	Buchholz	placeName
Buchß		Buchs	placeName
Buebiken	112	Bubikon	placeName
Buebikhen	112	Bubikon	placeName
Buebikon	112	Bubikon	placeName
Buechholtz	196029	Buchholz	placeName
Büel		Büel	placeName
Bülach	53001	Bülach	placeName
Bungarten		Baumgarten	placeName
Buochholtz	196029	Buchholz	placeName
Buochhöltzler		Buchholzer	placeName
Bürglen		Bürglen	placeName
Busenthal	111011	Buessental	placeName
Bußenhausen	177001	Bussenhausen	placeName
Bussenh[ausen]	177001	Bussenhausen	placeName
Bussenh[ausen]	177001	Bussenhausen	placeName
Bußenh[ausen]	177001	Bussenhausen	placeName
Bussenh[usen]	177001	Bussenhausen	placeName
Bussenhausen	177001	Bussenhausen	placeName
Bußenhusen	177001	Bussenhausen	placeName
Buttenau	131001	Buttenhau	placeName
Chur	3901	Chur	placeName
Clotten	62001	Kloten	placeName
Cnonauw	7001	Knonau	placeName
D[ürnten]	113001	Dürnten	placeName
Dacheltzen	158009	Dachelsen	placeName
Dachsen	25001	Dachsen	placeName
Dachßen	25001	Dachsen	placeName
Dagelschwang	176020	Tagelswangen	placeName
Dagelschwangen	176020	Tagelswangen	placeName
Dägerfelden	4320	Tegerfeld	placeName
Dagerschwang	176020	Tagelswangen	placeName
Dagerschwangen	176020	Tagelswangen	placeName
Dägerst	214	Tägerstli	placeName
Däingen		Thayngen	placeName
Dättliken	215	Dättlikon	placeName
Dendlicken	153013	Dändlikon	placeName
Detwyl	4021	Dättwil	placeName
Dielstorff	86001	Dielsdorf	placeName
Diesenh[ofen]	4545	Diessenhofen	placeName
Diesenhoffen	4545	Diessenhofen	placeName
Dießenhoffen	4545	Diessenhofen	placeName
Dietiken	243	Dietikon	placeName
Dietikhen	243	Dietikon	placeName
Dietikon	243	Dietikon	placeName
Disenh[ofen]	4545	Diessenhofen	placeName
Dörfflingen	*	Dörflingen	placeName
Düben-Dorff	191001	Dübendorf	placeName
Dübendorff	191001	Dübendorf	placeName
Dürler-see	*	Türlersee	placeName
Dürlersee	*	Türlersee	placeName
Dürnten	113001	Dürnten	placeName
Dürst[alen]	173026	Dürstelen	placeName
Dürstal[en]	173026	Dürstelen	placeName
Dürstalen	173026	Dürstelen	placeName
Dürstali	173026	Dürstelen	placeName
Dürstelen	173026	Dürstelen	placeName
Ebnetingen	*	Ebmatingen	placeName
Efferätticken	17401	Effretikon	placeName
Egg		Egg	placeName
Eggk		Egg	placeName
Egk		Egg	placeName
