Bëld		
Belden		
Belials		
Bemelte		
Benandtlichen		
Benckhen		
Bendict		
Bendl[ickon]	135014	Bänklen/Kilchberg
Bendlicken	135014	
Bendlickon	135014	
Bendliken	135014	
Bened[ict]		
Benedict		
Beninca		
Bënnken	22001	Benken
Bentz		
Bëntzen		
Benz		
Bënz		
Benzen		
Berathen		
Bërchtoldin		
Bereinigung		
Berentsch[wil]	111001	
Berentschwil	111001	
Berentswilano	111001	
Beretsch[wil]	111001	
Beretschwil	111001	
Beretschwyl	111001	
Bëretschwyl	111001	
Berg	115	Gossau
Berger		
Bergerin		
Bergfelden	*	
Bergvelden	*	
Beringer		
Berlein		
Berli		
Berliken	112074	
Berlikon	112074	
Berlin	*	
Berling	4801	
Berlingen	4801	
Berlinger	4801	
Berlingeren	4801	
Bern[hart]		
Bernbiet	*	
Bernbiett	*	
Berneg		
Berner		
Bernerbiett		
Bernere		
Berneren		
Bernergebiet		
Berneri		
Bernerkrieg		
Bernet		
Berneten		
Bernh[ard]		
Bernh[ardt]		
Bernh[art]		
Bernhard		
Bernhardin		
Bernhardinen		
Bernhardt		
Bernhart		
Bernharten		
Bernhartinen		
Bernner		
Bernpiet		
Berotschweil		
Berrweiler		
Bertscherin		
Bertschi		
Bertschicken	115010	
Bertschicker		
Bertschiker		
Bertschikon	115010	
Bertschin		
Bertschinger		
Bertschiß		
Berüefte		
Beschedigten		
Bëscheli		
Beschriben		
Beschwerte		
Besihe		
Besinte		
Bessler		
Besslern		
Bestimmte		
Bestrafte		
Beth[…]aur		
Betheli		
Bethli		
Betlehem		
Betli		
Betraff		
Betschwyl	*	
Bettagsstühr		
Bettend		
Betthli		
Bettli		
Beügger		
Beüggers		
Beygel		
Beygels		
Beym		
Biber		
Bickel		
Bickels		
Bickhel		
Bicklen		
Bickli		
Bicklin		
Bidermanen		
Bidermanin		
Bidermannen		
Bidermanns		
Bidermans		
Bietenholtz		
Bietenholtzen		
Bietenholz		
Bifang		
Bikel		
Bikels		
Biklen		
Biklin		
Bilckels		
Bilgi		
Billicken		
Billing		
Billingin		
Binder		
Binderin		
Binders		
Bindschädler		
Bintzicken	116002	Binzikon
Bintzickon	116002	
Bintziken	116002	
Bintzikomer		
Bintzikon	116002	
Binz[ikon]	116002	ev. Binz 53039
Binzicken	116002	
Binzicker		
Binzickeren		
Binzickon	116002	
Binzik[on]	116002	
Binziken	116002	
Binziker		
Binzikon	116002	
Binzikonæ	116002	
Binzikoner		
Birch	91024	
Birche	91024	
Birk	91024	
Birmannstorf	242	
Birmenst[orf]	242	
Birmenstorf	242	
Birmenstorfer		
Birmenstorff	242	
Birmenstorffer		
Birmenstorffs	242	
Bischof		
Bischoffzell	4471	
Bishëro		
Bisicken	174016	Bisikon
Bittet		
Bizi		
Bläsi		
Bläsis		
Blassen		
Blattenbach	120066	
Blätter		
Blauen		
Blaüwler		
Blei		
